# BJDMID, FLUX, DX, DY, FWHM, FWHM_X, FWHM_Y, SKY, AIRMASS
8.475656106540467590e+03 1.003469682656527917e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.180000066757202148e+00 3.515880584716796875e+00 2.930107831954956055e+00 8.491099853515625000e+02 2.119865417480468750e+00
8.475656455440446734e+03 9.964540242555065541e-01 4.051996171474456787e-01 3.510994911193847656e-01 3.750000000000000000e+00 3.785820960998535156e+00 3.057372093200683594e+00 8.415399780273437500e+02 2.111993074417114258e+00
8.475656808340456337e+03 9.977621998248507040e-01 -1.505207270383834839e-01 -2.206038683652877808e-01 3.609999895095825195e+00 3.299947500228881836e+00 2.730760574340820312e+00 8.380800170898437500e+02 2.104274034500122070e+00
8.475657156540546566e+03 9.947496689353769739e-01 -2.801496684551239014e-01 -9.899788349866867065e-02 3.710000038146972656e+00 3.630766153335571289e+00 2.992604494094848633e+00 8.371699829101562500e+02 2.096650600433349609e+00
8.475657507640775293e+03 9.926888337849768540e-01 2.402249276638031006e-01 1.351849287748336792e-01 3.829999923706054688e+00 3.600039005279541016e+00 3.074022531509399414e+00 8.375800170898437500e+02 2.088980436325073242e+00
8.475657855940517038e+03 1.012413453958054932e+00 1.539605483412742615e-02 7.662528753280639648e-02 3.619999885559082031e+00 3.579517364501953125e+00 3.073071479797363281e+00 8.355700073242187500e+02 2.081434488296508789e+00
8.475658205240499228e+03 9.941480755895897303e-01 -3.200553953647613525e-01 -6.142675504088401794e-02 3.269999980926513672e+00 3.538337945938110352e+00 3.035845041275024414e+00 8.339500122070312500e+02 2.073977947235107422e+00
8.475658553440589458e+03 9.953064538632571123e-01 2.327153831720352173e-01 -2.139640040695667267e-02 3.369999885559082031e+00 3.622512340545654297e+00 2.951421260833740234e+00 8.320800170898437500e+02 2.066614151000976562e+00
8.475658899340778589e+03 1.005758106315524758e+00 -1.199622377753257751e-01 -2.462175488471984863e-02 3.589999914169311523e+00 3.475999355316162109e+00 3.011290073394775391e+00 8.293099975585937500e+02 2.059262275695800781e+00
8.475659248240757734e+03 1.001006181950205853e+00 -2.992437183856964111e-01 -5.598004534840583801e-02 3.130000114440917969e+00 3.391779899597167969e+00 2.919835567474365234e+00 8.259899902343750000e+02 2.051986932754516602e+00
8.475659596440382302e+03 1.001331541399198111e+00 5.139103531837463379e-01 1.737313270568847656e-01 3.470000028610229492e+00 3.613545656204223633e+00 3.006765842437744141e+00 8.233499755859375000e+02 2.044753313064575195e+00
8.475659946640487760e+03 1.006580073562088451e+00 -6.015108525753021240e-02 1.361873298883438110e-01 3.910000085830688477e+00 3.790042877197265625e+00 3.094804286956787109e+00 8.221500244140625000e+02 2.037631988525390625e+00
8.475660291340667754e+03 9.996578588984169622e-01 -4.245835840702056885e-01 -2.730594873428344727e-01 3.619999885559082031e+00 3.453721046447753906e+00 3.276953697204589844e+00 8.188400268554687500e+02 2.030509233474731445e+00
8.475660642340779305e+03 9.879920645222660669e-01 3.612027764320373535e-01 -1.204768493771553040e-01 3.569999933242797852e+00 3.584521532058715820e+00 3.138032197952270508e+00 8.123400268554687500e+02 2.023413419723510742e+00
8.475660990540403873e+03 9.962501106457061217e-01 -5.776551365852355957e-02 4.210295975208282471e-01 3.599999904632568359e+00 3.615738630294799805e+00 3.014916658401489258e+00 7.999500122070312500e+02 2.016398191452026367e+00
8.475661342240404338e+03 1.002978190659060909e+00 -2.671434581279754639e-01 -2.489210814237594604e-01 3.259999990463256836e+00 3.376836538314819336e+00 2.981684684753417969e+00 7.909799804687500000e+02 2.009493827819824219e+00
8.475661686040461063e+03 9.973851728483689172e-01 2.188786715269088745e-01 2.466739527881145477e-02 3.049999952316284180e+00 3.510813236236572266e+00 2.920201539993286133e+00 7.807299804687500000e+02 2.002615928649902344e+00
8.475662033540662378e+03 1.010815092158334760e+00 3.465133607387542725e-01 1.597785353660583496e-01 3.950000047683715820e+00 3.943019866943359375e+00 2.927345752716064453e+00 7.706099853515625000e+02 1.995749115943908691e+00
8.475662383840419352e+03 1.000540175221081629e+00 -2.984111905097961426e-01 -1.892870217561721802e-01 3.390000104904174805e+00 3.574935436248779297e+00 2.829537630081176758e+00 7.602700195312500000e+02 1.988961577415466309e+00
8.475662732640746981e+03 1.000692441982691472e+00 -1.855875253677368164e-01 1.418313384056091309e-01 3.019999980926513672e+00 3.542975187301635742e+00 2.908308267593383789e+00 7.536799926757812500e+02 1.982225775718688965e+00
8.475663081540726125e+03 1.000915346223510971e+00 1.916421800851821899e-01 6.577602773904800415e-02 3.130000114440917969e+00 3.278445482254028320e+00 2.807622432708740234e+00 7.515100097656250000e+02 1.975536823272705078e+00
8.475663433340378106e+03 9.980755329119818109e-01 -6.127476319670677185e-02 -1.433176100254058838e-01 3.069999933242797852e+00 3.601938009262084961e+00 2.838256359100341797e+00 7.508499755859375000e+02 1.968843936920166016e+00
8.475663781740702689e+03 9.953254997582955399e-01 -1.905100345611572266e-01 6.280431058257818222e-03 3.049999952316284180e+00 3.045199632644653320e+00 3.045199632644653320e+00 7.496699829101562500e+02 1.962254762649536133e+00
8.475664131240453571e+03 9.983694847993198618e-01 2.035955786705017090e-01 6.975759565830230713e-02 2.880000114440917969e+00 3.067427396774291992e+00 3.067427396774291992e+00 7.478599853515625000e+02 1.955732464790344238e+00
8.475664480140432715e+03 1.000299784015517890e+00 -1.588262170553207397e-01 -1.123515069484710693e-01 3.349999904632568359e+00 3.235404491424560547e+00 2.828959941864013672e+00 7.462299804687500000e+02 1.949245810508728027e+00
8.475664830440655351e+03 1.005796820313288764e+00 1.612851768732070923e-01 1.029925718903541565e-01 2.980000019073486328e+00 3.514271259307861328e+00 2.805442810058593750e+00 7.468499755859375000e+02 1.942801117897033691e+00
8.475665179240517318e+03 9.948664419140152981e-01 2.142906934022903442e-01 3.009670972824096680e-02 3.430000066757202148e+00 3.548498392105102539e+00 2.912661552429199219e+00 7.477899780273437500e+02 1.936408758163452148e+00
8.475665531040634960e+03 1.009051467972960303e+00 -5.290119647979736328e-01 -9.886743873357772827e-02 3.700000047683715820e+00 3.632499217987060547e+00 2.761782169342041016e+00 7.490499877929687500e+02 1.930023550987243652e+00
8.475665881240740418e+03 1.002144376313228724e+00 2.708590030670166016e-01 3.627489507198333740e-02 3.990000009536743164e+00 3.623149633407592773e+00 3.166688680648803711e+00 7.493699951171875000e+02 1.923712491989135742e+00
8.475666234540753067e+03 1.001919259755836400e+00 1.938695758581161499e-01 -3.127259388566017151e-02 3.509999990463256836e+00 3.669814348220825195e+00 2.875198125839233398e+00 7.497899780273437500e+02 1.917407631874084473e+00
8.475666583440732211e+03 9.994367432508388660e-01 -3.342900276184082031e-01 5.733326449990272522e-02 3.630000114440917969e+00 3.563222408294677734e+00 3.074957609176635742e+00 7.498499755859375000e+02 1.911231875419616699e+00
8.475666930740699172e+03 1.008117558734752395e+00 2.820944190025329590e-01 -1.584246009588241577e-01 3.460000038146972656e+00 3.499182462692260742e+00 2.939736127853393555e+00 7.464699707031250000e+02 1.905112504959106445e+00
8.475667280140798539e+03 1.003892621475706015e+00 -1.815747767686843872e-01 2.294238656759262085e-01 3.349999904632568359e+00 3.605500698089599609e+00 2.850456953048706055e+00 7.430100097656250000e+02 1.898990035057067871e+00
8.475667629640549421e+03 1.006549622582221026e+00 -8.469123393297195435e-02 -1.895010322332382202e-01 3.269999980926513672e+00 3.327892541885375977e+00 2.960905790328979492e+00 7.367899780273437500e+02 1.892998337745666504e+00
8.475667976340744644e+03 1.000584106394707851e+00 1.077772602438926697e-01 6.583093851804733276e-02 3.170000076293945312e+00 3.489049196243286133e+00 2.946103096008300781e+00 7.306099853515625000e+02 1.886954665184020996e+00
8.475668325240723789e+03 9.962523563351772804e-01 4.566051810979843140e-02 -7.743833214044570923e-02 2.920000076293945312e+00 3.339971780776977539e+00 2.858783245086669922e+00 7.251300048828125000e+02 1.880990743637084961e+00
8.475668676240369678e+03 1.001693849000024006e+00 -1.755981743335723877e-01 6.456485390663146973e-02 3.089999914169311523e+00 3.370773077011108398e+00 2.669385433197021484e+00 7.209199829101562500e+02 1.875025749206542969e+00
8.475669027340598404e+03 9.992780992876088009e-01 4.007266163825988770e-01 1.292881518602371216e-01 2.890000104904174805e+00 3.588598251342773438e+00 2.711492776870727539e+00 7.172700195312500000e+02 1.869125127792358398e+00
8.475669376240577549e+03 1.003245275461934760e+00 -3.724446892738342285e-01 -2.230359464883804321e-01 2.950000047683715820e+00 3.345789909362792969e+00 2.788871049880981445e+00 7.134600219726562500e+02 1.863303899765014648e+00
8.475669726440683007e+03 1.003141485945526545e+00 2.233539372682571411e-01 -9.525422938168048859e-03 2.940000057220458984e+00 3.341990232467651367e+00 2.819681882858276367e+00 7.092600097656250000e+02 1.857591152191162109e+00
8.475670070240739733e+03 9.998920391284675802e-01 -1.648739278316497803e-01 1.313695311546325684e-01 2.779999971389770508e+00 3.401746273040771484e+00 2.808091878890991211e+00 7.033900146484375000e+02 1.851837754249572754e+00
8.475670418440364301e+03 9.985959850041389307e-01 1.098828762769699097e-01 -6.761308293789625168e-03 2.690000057220458984e+00 3.474044561386108398e+00 2.769021034240722656e+00 6.968900146484375000e+02 1.846092700958251953e+00
8.475670772140379995e+03 1.004099531791100786e+00 6.865967065095901489e-02 -8.102328330278396606e-02 2.599999904632568359e+00 3.229188680648803711e+00 2.847330808639526367e+00 6.922000122070312500e+02 1.840416312217712402e+00
8.475671120340470225e+03 9.964979588710966008e-01 -1.681361347436904907e-01 1.045397818088531494e-01 2.720000028610229492e+00 3.220148563385009766e+00 2.843277931213378906e+00 6.889199829101562500e+02 1.834808468818664551e+00
8.475671472140587866e+03 1.003956964178425393e+00 4.834708571434020996e-02 -7.999609410762786865e-02 2.700000047683715820e+00 3.370451688766479492e+00 2.762175559997558594e+00 6.872700195312500000e+02 1.829182744026184082e+00
8.475671819440554827e+03 1.002884324351404954e+00 2.326582223176956177e-01 3.214292600750923157e-02 2.730000019073486328e+00 3.240427017211914062e+00 2.797584295272827148e+00 6.850300292968750000e+02 1.823742270469665527e+00
8.475672163340728730e+03 1.002936972491663692e+00 -1.644192785024642944e-01 -4.083678498864173889e-02 2.740000009536743164e+00 3.250207901000976562e+00 2.881038904190063477e+00 6.803400268554687500e+02 1.818250298500061035e+00
8.475672511640470475e+03 1.001312212763019405e+00 -4.547582566738128662e-02 3.503119340166449547e-03 2.779999971389770508e+00 3.222176790237426758e+00 2.661594629287719727e+00 6.746300048828125000e+02 1.812798857688903809e+00
8.475672861940693110e+03 1.001140203058666689e+00 -1.506581604480743408e-01 -8.431747555732727051e-03 2.809999942779541016e+00 3.265644788742065430e+00 2.843234300613403320e+00 6.721300048828125000e+02 1.807335376739501953e+00
8.475673212940804660e+03 1.004390977791494777e+00 5.506638437509536743e-02 6.609895080327987671e-02 2.640000104904174805e+00 3.065732955932617188e+00 2.756325960159301758e+00 6.697500000000000000e+02 1.801933288574218750e+00
8.475673563240561634e+03 1.002856036352794966e+00 1.475336104631423950e-01 -1.017970964312553406e-01 2.640000104904174805e+00 3.180240631103515625e+00 2.789119243621826172e+00 6.695800170898437500e+02 1.796576261520385742e+00
8.475673913640435785e+03 1.002355664702356597e+00 9.566865861415863037e-02 3.074153512716293335e-02 2.779999971389770508e+00 3.254956960678100586e+00 2.875684499740600586e+00 6.680900268554687500e+02 1.791287660598754883e+00
8.475674262840766460e+03 9.999051735736310675e-01 -5.344877392053604126e-02 8.315611630678176880e-02 2.859999895095825195e+00 3.395502567291259766e+00 2.724068403244018555e+00 6.642299804687500000e+02 1.785990357398986816e+00
