# BJDMID, FLUX, DX, DY, FWHM, FWHM_X, FWHM_Y, SKY, AIRMASS
8.653720680605620146e+03 1.003029547345630101e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.039999961853027344e+00 3.845159530639648438e+00 3.025071144104003906e+00 5.343900146484375000e+02 1.672898173332214355e+00
8.653720967405941337e+03 1.002844082958994854e+00 1.445463299751281738e-01 -2.573095262050628662e-01 4.960000038146972656e+00 3.497406482696533203e+00 3.497406482696533203e+00 5.330200195312500000e+02 1.669638514518737793e+00
8.653721324905753136e+03 9.993290736799534946e-01 1.559370458126068115e-01 1.555133461952209473e-01 5.369999885559082031e+00 3.790459156036376953e+00 3.349828243255615234e+00 5.313400268554687500e+02 1.667059779167175293e+00
8.653721612305846065e+03 1.000778860138868298e+00 -1.294763833284378052e-01 -1.228828728199005127e-01 5.880000114440917969e+00 4.002547264099121094e+00 3.351083278656005859e+00 5.307299804687500000e+02 1.663542389869689941e+00
8.653722002405673265e+03 9.976003024357159576e-01 -1.318590641021728516e-01 -5.686273425817489624e-02 4.590000152587890625e+00 3.621086835861206055e+00 3.168596744537353516e+00 5.297700195312500000e+02 1.661002159118652344e+00
8.653722287505865097e+03 1.002608892310426603e+00 2.815896570682525635e-01 4.573788046836853027e-01 6.000000000000000000e+00 4.048624038696289062e+00 3.337432146072387695e+00 5.290800170898437500e+02 1.657367348670959473e+00
8.653722697105724365e+03 9.999617480717963858e-01 -4.324994683265686035e-01 -4.414334595203399658e-01 5.179999828338623047e+00 3.780993938446044922e+00 3.198753595352172852e+00 5.263800048828125000e+02 1.654857397079467773e+00
8.653722982305567712e+03 1.009110838341787719e+00 1.373230069875717163e-01 1.163059473037719727e-01 6.039999961853027344e+00 3.577012300491333008e+00 3.577012300491333008e+00 5.257199707031250000e+02 1.651266098022460938e+00
8.653723394205793738e+03 1.005823409999130558e+00 1.022983565926551819e-01 4.530970752239227295e-02 5.699999809265136719e+00 3.961853504180908203e+00 3.347093343734741211e+00 5.252399902343750000e+02 1.648784756660461426e+00
8.653723679405637085e+03 9.910449863916600544e-01 2.069493532180786133e-01 1.595501005649566650e-01 5.230000019073486328e+00 3.749055385589599609e+00 3.280207633972167969e+00 5.249099731445312500e+02 1.645234823226928711e+00
8.653724092005752027e+03 9.961930570777067784e-01 -1.920694410800933838e-01 -1.279849708080291748e-01 5.079999923706054688e+00 3.903823852539062500e+00 3.318231582641601562e+00 5.251500244140625000e+02 1.642791032791137695e+00
8.653724377205595374e+03 9.950011102139738606e-01 1.301620751619338989e-01 3.203251063823699951e-01 5.059999942779541016e+00 3.958865642547607422e+00 3.241834163665771484e+00 5.258599853515625000e+02 1.639390230178833008e+00
8.653724775905720890e+03 1.005901878006749905e+00 -5.668064579367637634e-02 4.816769808530807495e-02 5.380000114440917969e+00 3.843848228454589844e+00 3.141215324401855469e+00 5.274299926757812500e+02 1.636982202529907227e+00
8.653725063305813819e+03 9.937095751913604946e-01 1.839334815740585327e-01 -5.163353085517883301e-01 4.800000190734863281e+00 4.005752086639404297e+00 3.191490650177001953e+00 5.256500244140625000e+02 1.633499145507812500e+00
8.653725476605817676e+03 1.007502158076161169e+00 -1.819739490747451782e-02 2.721215784549713135e-01 4.949999809265136719e+00 3.753912210464477539e+00 3.269061326980590820e+00 5.222899780273437500e+02 1.631116151809692383e+00
8.653725764705799520e+03 9.965399455244021709e-01 2.169106602668762207e-01 -3.336941301822662354e-01 4.889999866485595703e+00 3.881313323974609375e+00 3.094067573547363281e+00 5.200700073242187500e+02 1.627743959426879883e+00
8.653726170005742460e+03 1.008073530143326346e+00 -4.556636139750480652e-02 8.971529453992843628e-02 4.949999809265136719e+00 3.849167585372924805e+00 3.156468391418457031e+00 5.190000000000000000e+02 1.625390410423278809e+00
8.653726459705736488e+03 9.931248541843283872e-01 -2.869056165218353271e-01 -1.775442436337471008e-02 4.690000057220458984e+00 3.836006641387939453e+00 3.304178476333618164e+00 5.176099853515625000e+02 1.622043728828430176e+00
8.653726865505799651e+03 1.005445329128678678e+00 -2.122413665056228638e-01 -1.642722487449645996e-01 4.900000095367431641e+00 3.619330644607543945e+00 3.275414943695068359e+00 5.182999877929687500e+02 1.619729042053222656e+00
8.653727152405772358e+03 1.000107300778732000e+00 4.055712223052978516e-01 -3.519133478403091431e-02 5.340000152587890625e+00 4.017770767211914062e+00 3.383240461349487305e+00 5.183800048828125000e+02 1.616421341896057129e+00
8.653727560405619442e+03 9.977040966120100940e-01 -2.034607715904712677e-02 1.371581703424453735e-01 4.849999904632568359e+00 3.865617275238037109e+00 3.208070755004882812e+00 5.167500000000000000e+02 1.614136457443237305e+00
8.653727846405934542e+03 9.983889508323375850e-01 -2.890256345272064209e-01 3.171781897544860840e-01 4.840000152587890625e+00 3.966799736022949219e+00 3.216897010803222656e+00 5.160900268554687500e+02 1.610886335372924805e+00
