Sp_ID,2MASS_ID,gaia,RA_1,DEC_1,,
Sp0000-1245,00002867-1245153,2421137424841635840,0.1193751,-12.7542112,,
Sp0001+1535,00011217+1535355,2772182900286956160,0.3007107,15.5932068,,
Sp0002+0115,00020623+0115360,2738415592529108096,0.5259069,1.2600395,,
Sp0004+5843,00040760+5843007,423130041883475968,1.0314046,58.716818,,
Sp0004-4044,00043484-4044058,4996141155411984128,1.146191,-40.7351291,,
Sp0004-2058,00044144-2058298,2340736324254735488,1.1730139,-20.9749664,,
Sp0005+0217,00050184+0217120,2739077223651402240,1.2576252,2.2866248,,
Sp0005-2157,00054844-2157196,2340605825968413184,1.4521622,-21.9554899,,
Sp0006+0439,00062623+0439115,2741783362285662592,1.6092862,4.6532415,,
Sp0007-2458,00070787-2458042,2336406413104712320,1.7829665,-24.9678772,,
Sp0008+5453,00083459+5453428,420235478744248192,2.1438542,54.89522,,
Sp0008+4918,0000000+0000,393621524910343296,0.0,0.0,,
Sp0008+2911,00085931+2911521,2860297040582153600,2.2470473,29.1977456,,
Sp0010-2031,00100009-2031122,2364740071837660672,2.5004679,-20.5200619,,
Sp0010-0746,00102936-0746487,2429635550212644608,2.622372,-7.7802664,,
Sp0011-3334,00110248-3334463,2310240437249834496,2.7603567,-33.579604,,
Sp0012+5159,00122517+5159204,395797630219580032,3.1032685,51.9889449,,
Sp0013+4012,00130254+4012149,383030719672118528,3.2602292,40.2041241,,
Sp0013-2235,00135779-2235200,2361294885296927488,3.4908153,-22.5889735,,
Sp0014-3245,00140580-3245599,2316363175123938560,3.5242695,-32.7666224,,
Sp0014-4844,00145575-4844171,4977142934516994176,3.7343152,-48.7380285,,
Sp0015+4239,00151547+4239288,383847961754087040,3.814316,42.657951,,
Sp0015+3516,00154476+3516026,2876239130257160960,3.9366105,35.2673998,,
Sp0017-4054,00171491-4054410,4995537965909399552,4.3119328,-40.9113924,,
Sp0018-6356,00184613-6356122,4900453540369793408,4.6938349,-63.9366153,,
Sp0019+0030,00191165+0030176,2545563520758981760,4.7985453,0.5049021,,
Sp0019-3724,00193927-3724392,4998742462483975424,4.9139298,-37.4109063,,
Sp0019+5213,00194579+5213179,419121948343397888,4.9418277,52.2215512,,
Sp0020-2155,00203752-2155296,2361213216492876160,5.1562344,-21.9249665,,
Sp0021-4244,00210589-4244433,4992141475707360640,5.2750567,-42.7454158,,
