# Time, Detrended Flux
8.905699745486024767e+03,-4.774355876846492208e-03
8.905700333911925554e+03,6.253209316461338929e-04
8.905700939930509776e+03,-4.263582125747178431e-03
8.905701621759217232e+03,8.427996334423815128e-03
8.905702313425950706e+03,8.802604787087719984e-03
8.905703009722288698e+03,-2.050630429223598838e-03
8.905703705787193030e+03,-5.968071816414455277e-03
8.905704397685360163e+03,2.691714282561763483e-03
8.905705088194459677e+03,-7.253803973837902319e-04
8.905705789351835847e+03,-1.246413402209545218e-03
8.905706479745451361e+03,1.647425985017769712e-03
8.905707178009208292e+03,-7.026588856573479092e-03
8.905707869907375425e+03,-8.207532761603575366e-03
8.905708566898014396e+03,-2.853307184149667108e-03
8.905709254976827651e+03,6.792778906704155517e-03
8.905709954861085862e+03,3.532990031869021053e-03
8.905710648263804615e+03,-1.241015410412549258e-04
8.905711346527561545e+03,3.176536754121772610e-03
8.905712032638955861e+03,-9.215131570933232652e-04
8.905712730902712792e+03,1.271638268122154969e-04
8.905713427430484444e+03,5.849790480977334894e-04
8.905714123032521456e+03,-4.230486708031389043e-03
8.905714815509039909e+03,9.116498949777396277e-03
8.905715507407207042e+03,4.373127063378889900e-03
8.905716206481680274e+03,-2.667689493496383513e-03
8.905716898958198726e+03,7.108775629803831819e-04
8.905717591666616499e+03,2.382046002740390023e-03
8.905718284027650952e+03,4.876534194254045218e-03
8.905718983911909163e+03,3.816002627638370726e-03
8.905719678703695536e+03,5.403167637538786039e-03
8.905720369791612029e+03,-5.779494751054770063e-04
8.905721062384080142e+03,-4.721462587404245959e-03
8.905721753471996635e+03,-4.838805888893960017e-03
8.905722450347151607e+03,-2.309794385217944779e-03
8.905723150231409818e+03,-4.432925359781458852e-03
8.905723839120473713e+03,-5.320149284153696811e-04
8.905724539004731923e+03,3.065955508879336655e-03
8.905725235879421234e+03,1.867415010320283564e-03
8.905725920486263931e+03,-3.543347194454926630e-03
8.905726622453890741e+03,2.344247365421492368e-03
8.905727316319476813e+03,-2.173748908748662778e-03
8.905728010416496545e+03,4.146721515397633340e-03
8.905728705092798918e+03,-2.592601870379462881e-03
8.905729398379568011e+03,4.056907692572275792e-04
8.905730093981605023e+03,1.746798263431825760e-03
8.905730792245361954e+03,6.233630007566270947e-03
8.905731481944676489e+03,2.170104741661349479e-03
8.905732176735997200e+03,9.080065800400882736e-03
8.905732872800901532e+03,-2.292072660242561177e-03
8.905733566897921264e+03,1.483688420750417514e-03
8.905734257407486439e+03,3.262465862271524131e-03
8.905735650463029742e+03,-6.218500831864037792e-03
8.905736343634314835e+03,-8.897111450077987982e-04
8.905737040624953806e+03,-5.036922651602937506e-03
8.905737734606489539e+03,1.878918480645475064e-03
8.905738425694406033e+03,-5.138566881548567444e-03
8.905739119097124785e+03,-3.708544040600503244e-03
8.905739817939698696e+03,-6.893408205310702641e-04
8.905740509837865829e+03,6.161984878200410520e-03
8.905741201851982623e+03,-4.762110087238591305e-03
8.905741899305488914e+03,3.347853251091104099e-04
