# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.905699745486024767e+03 9.903258170298505636e-01 2.348014230792846036e-03 -2.255115158910800074e-04 1.409941745242049987e-03 6.074559491826653890e+00 6.074559491826653890e+00 6.074559491826653890e+00 7.661544053520681246e+02 2.346850261759999778e+00 4.000000000000000000e+01
8.905700333911925554e+03 9.955338225815475450e-01 2.342646370989031040e-03 -1.085190485554149015e-01 -3.272900407894603902e-01 6.476223182260800293e+00 6.476223182260800293e+00 6.476223182260800293e+00 7.624060887179562087e+02 2.331405420449999877e+00 4.000000000000000000e+01
8.905700939930509776e+03 9.908392099192629976e-01 2.325476372399348703e-03 -6.385260598001905041e-01 -4.217579010044704146e-01 6.209755857271463952e+00 6.209755857271463952e+00 6.209755857271463952e+00 7.584729969115952599e+02 2.312892315220000050e+00 4.000000000000000000e+01
8.905701621759217232e+03 1.003820109746452527e+00 2.336311886463778020e-03 -2.311787552011315972e-01 -3.420217980367055155e-01 5.744703110847074967e+00 5.744703110847074967e+00 5.744703110847074967e+00 7.623485048536739441e+02 2.294431259550000046e+00 4.000000000000000000e+01
8.905702313425950706e+03 1.004400866348027499e+00 2.336832040584157187e-03 2.390931723274412890e-01 -2.990513019551078733e-01 5.397194078455917143e+00 5.397194078455917143e+00 5.397194078455917143e+00 7.698869280198939578e+02 2.276161179209999830e+00 4.000000000000000000e+01
8.905703009722288698e+03 9.934321710411125883e-01 2.310767943615201197e-03 -7.541155588947207056e-01 -6.731985526373033268e-01 5.740636177172161680e+00 5.740636177172161680e+00 5.740636177172161680e+00 7.771760363559727693e+02 2.258202287000000030e+00 4.000000000000000000e+01
8.905703705787193030e+03 9.895185782533498786e-01 2.290732070571988108e-03 -3.784213631751084939e-01 -5.533436913792447731e-01 5.821935411469640442e+00 5.821935411469640442e+00 5.821935411469640442e+00 7.711453216956974757e+02 2.240665875119999928e+00 4.000000000000000000e+01
8.905704397685360163e+03 9.983369265845040141e-01 2.286142270371332216e-03 1.069404610941079081e+00 -2.452700760982076122e-01 5.586349681892343710e+00 5.586349681892343710e+00 5.586349681892343710e+00 7.688102196911795545e+02 2.223490211300000130e+00 4.000000000000000000e+01
8.905705088194459677e+03 9.948793187276643302e-01 2.271171819557567424e-03 -4.821104979360311127e-01 -7.883872696946566672e-01 5.761279588121191786e+00 5.761279588121191786e+00 5.761279588121191786e+00 7.682595541102990637e+02 2.206300945929999813e+00 4.000000000000000000e+01
8.905705789351835847e+03 9.945144734307019840e-01 2.265431688135672618e-03 -7.330861775204403630e-01 -2.763332661691069933e-02 5.526333995699133972e+00 5.526333995699133972e+00 5.526333995699133972e+00 7.617604721212780987e+02 2.189678163870000027e+00 4.000000000000000000e+01
8.905706479745451361e+03 9.973995593170210672e-01 2.258997122469493749e-03 3.533295153068510136e-02 2.698287992725735829e-01 5.638122901327362158e+00 5.638122901327362158e+00 5.638122901327362158e+00 7.551586543211494700e+02 2.173138264159999888e+00 4.000000000000000000e+01
8.905707178009208292e+03 9.886629736195200469e-01 2.240500982605917943e-03 2.298416744811550005e-01 -1.664236566654473115e-01 5.853839251657186438e+00 5.853839251657186438e+00 5.853839251657186438e+00 7.561605024655524403e+02 2.157019450189999965e+00 4.000000000000000000e+01
8.905707869907375425e+03 9.883252621405954619e-01 2.216353768578555299e-03 -2.822672757360045193e-01 -1.028399342256040905e+00 3.327313169850639962e+00 3.327313169850639962e+00 3.327313169850639962e+00 7.560264391846131957e+02 2.141060180589999806e+00 4.000000000000000000e+01
8.905708566898014396e+03 9.928745221479492455e-01 2.218156109846237348e-03 1.748714685607831998e-01 -7.153969508378069664e-01 5.947743426847708292e+00 5.947743426847708292e+00 5.947743426847708292e+00 7.569293141046804294e+02 2.125558011939999936e+00 4.000000000000000000e+01
8.905709254976827651e+03 1.003405806007827694e+00 2.210082414037052405e-03 -2.892855352723128770e-01 -5.858141035157962140e-01 3.375165065090401040e+00 3.375165065090401040e+00 3.375165065090401040e+00 7.542945676779478390e+02 2.110022561570000121e+00 4.000000000000000000e+01
8.905709954861085862e+03 9.992366945314007376e-01 2.200003069223170019e-03 2.447871898749927055e-01 -4.335971292848020964e-01 6.152499412019367675e+00 6.152499412019367675e+00 6.152499412019367675e+00 7.573805162572015206e+02 2.094915549099999996e+00 4.000000000000000000e+01
8.905710648263804615e+03 9.958830295235825414e-01 2.202248489636726963e-03 1.089570828085530962e+00 5.920947799844495929e-01 5.646383538964329318e+00 5.646383538964329318e+00 5.646383538964329318e+00 7.580587530354711134e+02 2.079929989670000090e+00 4.000000000000000000e+01
8.905711346527561545e+03 9.990235838149518210e-01 2.188645455915659739e-03 -3.158885416040567162e-01 3.381255666678468219e-01 6.046579692509904902e+00 6.046579692509904902e+00 6.046579692509904902e+00 7.582656359182470851e+02 2.065435090379999838e+00 4.000000000000000000e+01
8.905712032638955861e+03 9.953779581271733345e-01 2.186771667459427252e-03 9.762144037480718906e-02 -2.720103720756861798e-01 5.175984055751024826e+00 5.175984055751024826e+00 5.175984055751024826e+00 7.593499742278867188e+02 2.050942120569999805e+00 4.000000000000000000e+01
8.905712730902712792e+03 9.958616515941991487e-01 2.153849118682588711e-03 -1.768373118777817998e+00 -1.007550576717407997e+00 6.395784819673306032e+00 6.395784819673306032e+00 6.395784819673306032e+00 7.528185638250757847e+02 2.036674953329999926e+00 4.000000000000000000e+01
8.905713427430484444e+03 9.966596333959784060e-01 2.162547889111916810e-03 -8.130002802348513802e-01 2.062904909470557047e-01 5.853736253623026187e+00 5.853736253623026187e+00 5.853736253623026187e+00 7.496559230025026181e+02 2.022654907150000181e+00 4.000000000000000000e+01
8.905714123032521456e+03 9.921009099656176167e-01 2.153593531855737056e-03 -1.941754248400059113e-01 8.287735314760605876e-01 5.400639871176213802e+00 5.400639871176213802e+00 5.400639871176213802e+00 7.470704356583977415e+02 2.008945149130000107e+00 4.000000000000000000e+01
8.905714815509039909e+03 1.005586424753461161e+00 2.156011505747314032e-03 2.789518575039561799e-01 3.607645500502257851e-01 5.172156994869658853e+00 5.172156994869658853e+00 5.172156994869658853e+00 7.440961963544498303e+02 1.995437636289999928e+00 4.000000000000000000e+01
8.905715507407207042e+03 1.000864762998679103e+00 2.151509850630645582e-03 -7.367821197280212120e-01 2.100893761512203917e-01 5.220495615502017017e+00 5.220495615502017017e+00 5.220495615502017017e+00 7.467141819804136276e+02 1.981998812060000059e+00 4.000000000000000000e+01
8.905716206481680274e+03 9.936883871969435233e-01 2.134732720859091465e-03 -3.796678695759838074e-01 -2.467906183948855026e-01 5.620908708961777300e+00 5.620908708961777300e+00 5.620908708961777300e+00 7.478615632887519951e+02 1.968890956449999896e+00 4.000000000000000000e+01
8.905716898958198726e+03 9.970246347600435488e-01 2.125122383022898676e-03 -1.421205873927692043e+00 -2.531920806268109225e-01 5.793090095148354379e+00 5.793090095148354379e+00 5.793090095148354379e+00 7.415788328883605800e+02 1.955963289170000063e+00 4.000000000000000000e+01
8.905717591666616499e+03 9.988400123693356170e-01 2.123167993008360892e-03 1.678611407536728939e-01 7.152770785836860129e-03 5.579826190799188623e+00 5.579826190799188623e+00 5.579826190799188623e+00 7.318022255552029947e+02 1.943258479170000053e+00 4.000000000000000000e+01
8.905718284027650952e+03 1.002086800259352373e+00 2.118409314601247748e-03 4.294000438752144100e-01 1.704088307845103012e-02 2.799136775705560076e+00 2.799136775705560076e+00 2.799136775705560076e+00 7.297387864076721371e+02 1.930593191470000081e+00 4.000000000000000000e+01
8.905718983911909163e+03 1.000449924236519239e+00 2.115121766399733361e-03 -9.882409953854934259e-02 7.263625367731981752e-01 5.372226413756195029e+00 5.372226413756195029e+00 5.372226413756195029e+00 7.243619077044379537e+02 1.918218774919999925e+00 4.000000000000000000e+01
8.905719678703695536e+03 1.001866375840346324e+00 2.101844402709181821e-03 -1.431496724980453050e-01 1.217010290398533034e-01 5.822902092321469603e+00 5.822902092321469603e+00 5.822902092321469603e+00 7.243995893721086077e+02 1.906092286120000034e+00 4.000000000000000000e+01
8.905720369791612029e+03 9.957134863808265735e-01 2.087917909630084261e-03 -2.247394655653562057e-01 2.983071427205549742e-01 6.220216833195133077e+00 6.220216833195133077e+00 6.220216833195133077e+00 7.213048041370067267e+02 1.894112484429999910e+00 4.000000000000000000e+01
8.905721062384080142e+03 9.918062261069184871e-01 2.082416649351340188e-03 -6.303328140864103979e-01 1.011373606903684053e+00 5.854857056608315347e+00 5.854857056608315347e+00 5.854857056608315347e+00 7.064543699815368427e+02 1.882329630949999943e+00 4.000000000000000000e+01
8.905721753471996635e+03 9.916824129437066260e-01 2.072636775948659589e-03 -2.729193924649385150e-01 3.476823837421623153e-01 5.945356961367352255e+00 5.945356961367352255e+00 5.945356961367352255e+00 7.004766682798689317e+02 1.870620789369999981e+00 4.000000000000000000e+01
